User_name,User_ID,Artist_name,Track,valence
Sebastian Racedo Val,12179172375,Nickelback,Animals,0.818
Sebastian Racedo Val,12179172375,Nickelback,Burn It to the Ground,0.6
Sebastian Racedo Val,12179172375,Panic! At The Disco,I Write Sins Not Tragedies,0.672
Sebastian Racedo Val,12179172375,Fall Out Boy,Thnks fr th Mmrs,0.588
Sebastian Racedo Val,12179172375,Hugo,99 Problems,0.592
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Linkin Park,Waiting for the End,0.323
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Pink Floyd,The Great Gig In The Sky - 2011 Remastered Version,0.181
Charlie,0cxaozs3a5z8m26vwzzc80wb9,The Weeknd,Less Than Zero,0.5
Charlie,0cxaozs3a5z8m26vwzzc80wb9,The Weeknd,Is There Someone Else?,0.608
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Tory Lanez,Lavender Sunflower,0.964
Charlie,0cxaozs3a5z8m26vwzzc80wb9,David Guetta,Sexy Bitch (feat. Akon),0.801
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Black Eyed Peas,I Gotta Feeling,0.61
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Drake,Passionfruit,0.364
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Mayday Parade,Get Up,0.771
Jesús Daniel,31wuuvwl5ak5254tirgzgux5hycy,WOS,ALMA DINAMITA,0.247
Charlie,0cxaozs3a5z8m26vwzzc80wb9,Kings of Leon,Use Somebody,0.173
carlos andres,31oj4ddmhj72gh65gjgkrfbqx4ia,El Cuarteto De Nos,Lo malo de ser bueno,0.637
carlos andres,31oj4ddmhj72gh65gjgkrfbqx4ia,El Cuarteto De Nos,Yendo a la Casa de Damián,0.524
jose,316aov5an7ol5ldr64mksxnfrwvu,Yandel,Yandel 150,0.58
jose,316aov5an7ol5ldr64mksxnfrwvu,Feid,CHORRITO PA LAS ANIMAS,0.609
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Arctic Monkeys,Do I Wanna Know?,0.405
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Arctic Monkeys,Snap Out Of It,0.872
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Slipknot,Psychosocial,0.307
Jesús Daniel,31wuuvwl5ak5254tirgzgux5hycy,Eladio Carrion,Me Gustas Natural,0.451
jose,316aov5an7ol5ldr64mksxnfrwvu,Koffee el Kafetero,Amor A Primera Vista (La Entrevista),0.967
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Slipknot,Before I Forget,0.348
J,jimenezzuletajhonjanner,Vickeblanka,Black Catcher,0.665
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Slipknot,The Devil in I,0.235
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Disturbed,Down with the Sickness,0.941
Cristhian Agamez,usmmuh3bnsqmv3q8d4227ndyt,Pantera,Walk,0.703
jose,316aov5an7ol5ldr64mksxnfrwvu,Arcángel,Contigo Quiero Amores,0.497
J,jimenezzuletajhonjanner,Imagine Dragons,Bones,0.571
jose,316aov5an7ol5ldr64mksxnfrwvu,Diomedes Diaz,Mujereando,0.922
carlos andres,31oj4ddmhj72gh65gjgkrfbqx4ia,Churo Diaz,El Enredo,0.897
carlos andres,31oj4ddmhj72gh65gjgkrfbqx4ia,Churo Diaz,Ya Pa Que,0.88
J,jimenezzuletajhonjanner,Imagine Dragons,Natural,0.22
